content,label
4 Node6 Ready veth0-veth1 2629m 6% 5722Mi 8% None None None None None None None None None None None None None None 6 1 191.094339623 0 53 20 4 Node3 Ready veth0-veth1 4447m 11% 17442Mi 27% vnf6 1/1 Running 0m 0.0% 26Mi 0.0% None None None None None None None 3 3 127.802469136 0 81 35 4 Node2 Ready veth0-veth1 24705m 61% 4836Mi 9% vnf4 1/1 Running 22003m 55.0% 23Mi 0.0% None None None None None None None 2 4 167.873015873 0 63 14 4 Node5 Ready veth0-veth1 5828m 14% 20678Mi 31% vnf7 1/1 Running 16855m 42.1% 17Mi 0.0% None None None None None None None 5 1 136.708860759 0 79 22 4 Node4 Ready veth0-veth1 13632m 34% 24265Mi 47% None None None None None None None None None None None None None None 0 0 0 0 0 0,0
2 Node6 Ready veth0-veth1 3014m 7% 7006Mi 10% None None None None None None None None None None None None None None 6 1 247.024390244 0 41 56 2 Node3 Ready veth0-veth1 25187m 62% 3851Mi 6% vnf5 1/1 Running 1m 0.0% 19Mi 0.0% None None None None None None None 3 4 126.243902439 0 82 21 2 Node5 Ready veth0-veth1 2993m 7% 15511Mi 24% vnf7 1/1 Running 0m 0.0% 32Mi 0.0% vnf8 1/1 Running 0m 0.0% 30Mi 0.0% 5 1 257.951219512 0 41 20 2 Node4 Ready veth0-veth1 20418m 51% 18697Mi 30% None None None None None None None None None None None None None None 0 0 0 0 0 0 None None None None None None None None None None None None None None None None None None None None None None None None None None None None,0
2 Node6 Ready veth0-veth1 2900m 7% 7024Mi 10% None None None None None None None None None None None None None None 6 1 337.6 0 30 21 2 Node3 Ready veth0-veth1 2970m 7% 3966Mi 6% vnf5 1/1 Running 1m 0.0% 19Mi 0.0% None None None None None None None 3 4 93.2612612613 0 111 24 2 Node5 Ready veth0-veth1 3085m 7% 15563Mi 24% vnf7 1/1 Running 0m 0.0% 33Mi 0.1% vnf8 1/1 Running 0m 0.0% 31Mi 0.0% 5 1 83.9365079365 0 126 26 2 Node4 Ready veth0-veth1 10416m 26% 48586Mi 55% None None None None None None None None None None None None None None 0 0 0 0 0 0 None None None None None None None None None None None None None None None None None None None None None None None None None None None None,0
2 Node6 Ready veth0-veth1 2758m 6% 6424Mi 10% None None None None None None None None None None None None None None 6 1 337.6 0 30 41 2 Node3 Ready veth0-veth1 4311m 10% 16751Mi 26% vnf5 1/1 Running 0m 0% 13Mi 0% None None None None None None None 3 4 90.0173913043 0 115 29 2 Node5 Ready veth0-veth1 3618m 9% 20411Mi 31% vnf7 1/1 Running 1m 0% 13Mi 0% vnf8 1/1 Running 1m 0% 18Mi 0% 5 1 122.976744186 0 86 28 2 Node4 Ready veth0-veth1 13212m 33% 17266Mi 43% None None None None None None None None None None None None None None 0 0 0 0 0 0 None None None None None None None None None None None None None None None None None None None None None None None None None None None None,0
3 Node6 Ready veth0-veth1 2918m 7% 7009Mi 10% None None None None None None None None None None None None None None 6 2 138.739726027 0 73 15 3 Node1 Ready veth0-veth1 3698m 9% 8049Mi 11% vnf1 1/1 Running 1m 0.0% 20Mi 0.0% None None None None None None None 1 4 79.6307692308 0 130 11 3 Node5 Ready veth0-veth1 3502m 8% 15505Mi 24% vnf9 1/1 Running 1m 0.0% 14Mi 0.0% None None None None None None None 5 4 83.2755905512 0 127 24 3 Node2 Ready veth0-veth1 4002m 10% 6054Mi 8% vnf3 1/1 Running 0m 0.0% 18Mi 0.0% None None None None None None None 2 1 276.923076923 0 39 24 3 Node4 Ready veth0-veth1 9942m 24% 49975Mi 58% None None None None None None None None None None None None None None 0 0 0 0 0 0,0
2 Node6 Ready veth0-veth1 2869m 7% 8426Mi 13% None None None None None None None None None None None None None None 6 1 66.1960784314 0 153 29 2 Node3 Ready veth0-veth1 2654m 6% 4304Mi 6% vnf5 1/1 Running 1m 0.0% 20Mi 0.0% None None None None None None None 3 4 164.317460317 0 63 33 2 Node5 Ready veth0-veth1 5048m 12% 50473Mi 78% vnf7 1/1 Running 1m 0.0% 20Mi 0.0% vnf8 1/1 Running 0m 0.0% 11Mi 0.0% 5 1 199.547169811 0 53 25 2 Node4 Ready veth0-veth1 7608m 19% 19931Mi 34% None None None None None None None None None None None None None None 0 0 0 0 0 0 None None None None None None None None None None None None None None None None None None None None None None None None None None None None,0
2 Node6 Ready veth0-veth1 3017m 7% 9949Mi 15% None None None None None None None None None None None None None None 6 1 81.6774193548 0 124 23 2 Node3 Ready veth0-veth1 18516m 46% 59235Mi 22% vnf5 1/1 Running 0m 0.0% 6Mi 0.0% None None None None None None None 3 4 164.317460317 0 63 36 2 Node5 Ready veth0-veth1 3244m 8% 15721Mi 24% vnf7 1/1 Running 1m 0.0% 24Mi 0.0% vnf8 1/1 Running 0m 0.0% 13Mi 0.0% 5 1 377.714285714 0 28 36 2 Node4 Ready veth0-veth1 10113m 25% 20119Mi 45% None None None None None None None None None None None None None None 0 0 0 0 0 0 None None None None None None None None None None None None None None None None None None None None None None None None None None None None,0
5 Node3 Ready veth0-veth1 4230m 10% 17279Mi 27% None None None None None None None None None None None None None None 3 4 160.761904762 0 63 16 5 Node5 Ready veth0-veth1 3459m 8% 20698Mi 32% vnf8 1/1 Running 0m 0% 20Mi 0% None None None None None None None 5 1 470.545454545 0 22 80 5 Node4 Ready veth0-veth1 11976m 29% 15448Mi 67% vnf11 1/1 Running 1m 0% 10Mi 0% None None None None None None None 4 2 45.3905579399 0 233 34 5 Node2 Ready veth0-veth1 4099m 10% 5355Mi 9% vnf3 1/1 Running 1m 0% 10Mi 0% None None None None None None None 2 2 42.5196850394 0 254 28 5 Node1 Ready veth0-veth1 3751m 9% 14312Mi 30% None None None None None None None None None None None None None None 0 0 0 0 0 0,0
5 Node3 Ready veth0-veth1 2915m 7% 2014Mi 3% None None None None None None None None None None None None None None 3 4 70.8251748252 0 143 18 5 Node5 Ready veth0-veth1 2868m 7% 16059Mi 25% vnf8 1/1 Running 1m 0.0% 25Mi 0.0% None None None None None None None 5 1 90.0173913043 0 115 21 5 Node4 Ready veth0-veth1 13898m 34% 18688Mi 29% vnf11 1/1 Running 0m 0.0% 18Mi 0.0% None None None None None None None 4 2 67.7948717949 0 156 23 5 Node2 Ready veth0-veth1 5392m 13% 4064Mi 6% vnf3 1/1 Running 0m 0.0% 17Mi 0.0% None None None None None None None 2 2 19.4945848375 0 554 17727 5 Node1 Ready veth0-veth1 5290m 13% 9263Mi 14% None None None None None None None None None None None None None None 0 0 0 0 0 0,0
4 Node6 Ready veth0-veth1 3911m 9% 15763Mi 24% None None None None None None None None None None None None None None 6 1 55.955801105 0 181 24 4 Node3 Ready veth0-veth1 2284m 5% 2134Mi 3% vnf6 1/1 Running 1m 0.0% 17Mi 0.0% None None None None None None None 3 3 54.4842105263 0 190 33 4 Node2 Ready veth0-veth1 5156m 12% 11901Mi 20% vnf4 1/1 Running 1m 0.0% 13Mi 0.0% None None None None None None None 2 4 45.7835497835 0 231 28 4 Node5 Ready veth0-veth1 26554m 66% 40784Mi 57% vnf7 1/1 Running 1m 0.0% 13Mi 0.0% None None None None None None None 5 1 21.8623481781 0 494 60292 4 Node4 Ready veth0-veth1 6722m 16% 21852Mi 39% None None None None None None None None None None None None None None 0 0 0 0 0 0,0
